label,address,liquid_420,bonded_420,locked_420,category,notes
Attention Treasury,,,,,protocol,TBD bootstrap reserve
Development Treasury,,,,,protocol,TBD bootstrap reserve
Founder/Core Contributor 01,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Founder/Core Contributor 02,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Founder/Core Contributor 03,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Founder/Core Contributor 04,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Founder/Core Contributor 05,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Founder/Core Contributor 06,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Founder/Core Contributor 07,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Founder/Core Contributor 08,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Founder/Core Contributor 09,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Founder/Core Contributor 10,,TBD,0,100000,founder_core_contributor,"100,000 420 allocation; vesting/time-lock schedule TBD"
Validator 01,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 02,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 03,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 04,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 05,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 06,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 07,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 08,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 09,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 10,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 11,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 12,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 13,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 14,,0,42000,0,validator,provisional bootstrap/bond treatment
Validator 15,,0,42000,0,validator,provisional bootstrap/bond treatment
